Rice,Farm,FW,DW,MP
Japonica,Finca_1,35.8968583,7.874404365,13.49468191
Indica,Finca_1,16.55376446,3.809230025,6.285593095
Jasmine,Finca_1,24.83102501,5.089503426,12.05083367
Basmati,Finca_1,49.16504,10.46744236,1.050839734
Arborio,Finca_1,26.75517683,6.282951928,12.85885287
Japonica,Finca_2,30.96681993,4.550167881,13.04087734
Indica,Finca_2,10.6405502,2.102997146,10.17763851
Jasmine,Finca_2,19.40716511,2.376647841,17.60718757
Basmati,Finca_2,40.40181052,7.434947459,7.04704319
Arborio,Finca_2,30.40388727,4.513122574,8.096750368
Japonica,Finca_3,35.6520289,7.027477805,12.51904484
Indica,Finca_3,16.6661917,2.954582318,5.231120473
Jasmine,Finca_3,21.29588191,4.661920219,11.68731798
Basmati,Finca_3,42.7634721,8.237392705,4.120966176
Arborio,Finca_3,28.57609091,5.996790093,8.224442869
Japonica,Finca_4,41.79037969,8.07106758,16.03664598
Indica,Finca_4,14.43970234,2.833843085,5.810830372
Jasmine,Finca_4,27.7842307,5.635115132,14.21706666
Basmati,Finca_4,35.3227238,8.172387532,3.022592771
Arborio,Finca_4,29.53929064,5.855265038,9.342848158
Japonica,Finca_5,34.29484313,4.997243659,10.85568796
Indica,Finca_5,12.33013782,1.331984669,6.607186914
Jasmine,Finca_5,25.26696189,3.216419435,11.73241992
Basmati,Finca_5,40.90367385,6.227069255,2.630712131
Arborio,Finca_5,36.53628057,6.568939014,7.463362286
Japonica,Finca_6,40.00024504,7.304458928,14.63380164
Indica,Finca_6,16.48352808,2.88447302,10.65316433
Jasmine,Finca_6,29.6107828,5.219269042,13.73643743
Basmati,Finca_6,37.42342437,6.744737464,2.869701911
Arborio,Finca_6,29.58059176,5.433118154,8.232744456
Japonica,Finca_7,35.75583374,6.848460025,15.84275067
Indica,Finca_7,13.54495594,2.444920825,9.422189516
Jasmine,Finca_7,28.36744676,5.682218824,15.53687069
Basmati,Finca_7,39.8659825,7.456023674,3.961868201
Arborio,Finca_7,31.65861908,6.684792594,11.31901557
Japonica,Finca_8,36.07098569,6.251005131,16.27831918
Indica,Finca_8,15.31540973,3.595360665,10.19848586
Jasmine,Finca_8,20.54920307,3.584795417,19.12962065
Basmati,Finca_8,38.24866221,6.715411403,5.002392943
Arborio,Finca_8,28.91793559,5.566659118,9.66924808
Japonica,Finca_9,33.92038167,7.501322203,12.92150837
Indica,Finca_9,10.62473269,3.018839042,8.730539663
Jasmine,Finca_9,25.31683245,5.038703962,13.51519714
Basmati,Finca_9,39.6685592,8.982804467,4.968907477
Arborio,Finca_9,38.32166499,9.036738888,9.448557938
Japonica,Finca_10,36.38672935,5.753385441,14.96858761
Indica,Finca_10,20.35082113,2.668199075,9.965430093
Jasmine,Finca_10,26.25341537,3.235312572,11.92530857
Basmati,Finca_10,38.27356947,5.715462564,9.972299895
Arborio,Finca_10,33.74090724,4.943392016,11.99668535
Japonica,Finca_11,34.19253186,4.990907025,15.38725646
Indica,Finca_11,8.120605113,0.953504746,4.434960184
Jasmine,Finca_11,13.03108615,1.278953212,14.32601154
Basmati,Finca_11,49.1171155,8.189895088,2.930691861
Arborio,Finca_11,31.27442782,5.362698707,7.71090512
Japonica,Finca_12,38.06225129,6.550345265,9.5213234
Indica,Finca_12,21.79196663,3.510218191,8.059806317
Jasmine,Finca_12,19.68303937,3.188930589,16.42931295
Basmati,Finca_12,46.66096386,8.96603161,5.606383136
Arborio,Finca_12,27.58985539,5.8346807,8.753582156
Japonica,Finca_13,39.30383337,6.210502791,11.74382045
Indica,Finca_13,17.01745433,4.125436113,6.985768879
Jasmine,Finca_13,23.1893098,4.052124168,14.39574854
Basmati,Finca_13,41.33159635,7.015616141,5.700704354
Arborio,Finca_13,35.79977372,6.014438034,9.631297215
Japonica,Finca_14,42.88365541,7.106038601,16.33853391
Indica,Finca_14,17.60931949,3.129941492,8.607471568
Jasmine,Finca_14,20.24281188,2.139766439,15.78859927
Basmati,Finca_14,39.31730907,7.544736048,2.479453074
Arborio,Finca_14,34.39115139,5.960033332,5.312506617
Japonica,Finca_15,42.40853419,6.612920171,13.81359748
Indica,Finca_15,21.77266543,3.593518034,7.361565814
Jasmine,Finca_15,21.46644344,3.52809962,15.9543107
Basmati,Finca_15,40.50274786,8.138500618,2.385323392
Arborio,Finca_15,28.44106492,3.484999786,9.439020012
